PersonId	FullName	HeadShotFilename	Affiliation	StudyId	SpinOffId	LeadRole	SpinOffRole	CoordinatorRole	AdvisorRole	CoInvestigatorRole	OtherRole	ScholarUrl	UniUrl	LabUrl
fmushtaq	Faisal Mushtaq	fmushtaq.jpg	University of Leeds	YeungSanfey2004		1	0	1	0	0		https://scholar.google.com/citations?user=bcjpWSwAAAAJ&hl=en	https://medicinehealth.leeds.ac.uk/psychology/staff/632/dr-faisal-mushtaq	
ypavlov	Yuri Pavlov	ypavlov.jpg	unaffiliated			0	0	1	0	0	founder	https://scholar.google.com/citations?hl=en&user=nSM_MxUAAAAJ		https://yurigpavlov.com/
dwelke	Dominik Welke	dwelke.jpg	University of Leeds			0	0	1	0	0		https://scholar.google.de/citations?user=B5xCyM0AAAAJ&hl=en		https://dominikwelke.github.io/
jvandenbosch	Jasper van den Bosch	jvandenbosch.jpg	University of Leeds			0	0	1	0	0		https://scholar.google.com/citations?user=XQ3-JHgAAAAJ&hl=en	https://medicinehealth.leeds.ac.uk/psychology/staff/11861/jasper-van-den-bosch	
abland	Amy Bland	abland.jpg	Manchester Metropolitan University	HajcakFoti2008		1	0	0	0	1		https://scholar.google.com/citations?user=nQl3r9kAAAAJ&hl=en	https://www.mmu.ac.uk/staff/profile/dr-amy-bland	
marvaneh	Mahnaz Arvaneh	marvaneh.jpg	University of Sheffield			0	0	0	0	1		https://scholar.google.com.sg/citations?user=HBxF7nAAAAAJ	https://www.sheffield.ac.uk/acse/department/people/academic/mahnaz-arvaneh	
xhe	Xun He	xhe.jpg	Bournemouth University	Eimer2003		1	0	0	0	1		https://scholar.google.com/citations?user=08oketoAAAAJ&hl=en	https://staffprofiles.bournemouth.ac.uk/display/xhe	http://www.bournemouth.ac.uk/mine
roostenveld	Robert Oostenveld	roostenveld.jpg	Donders Institute for Brain, Cognition and Behaviour			0	0	0	1	0		https://scholar.google.co.uk/citations?user=eEbaa0UAAAAJ&hl=en	https://www.ru.nl/en/people/oostenveld-r	
dcruse	Damian Cruse	dcruse.jpg	University of Birmingham	Sergent2005		1	0	0	0	0		https://scholar.google.com/citations?user=P98yGl4AAAAJ&hl=en	https://www.birmingham.ac.uk/staff/profiles/psychology/cruse-damian	https://www.damiancruse.com/
mgamer	Matthias Gamer	mgamer.jpg	University of Würzburg	Miltner1999		1	0	0	1	0		https://scholar.google.com/citations?user=9L2AQE4AAAAJ&hl=en	https://www.psychologie.uni-wuerzburg.de/en/expklin/staff/matthias-gamer/	https://www.psychologie.uni-wuerzburg.de/en/expklin/
gganis	Giorgio Ganis	gganis.jpg	University of Plymouth	Eimer1993		1	0	0	0	0		https://scholar.google.com/citations?user=-j9yBRgAAAAJ&hl=en	https://www.plymouth.ac.uk/staff/giorgio-ganis	
sgregory	Samantha Gregory	sgregory.jpg	University of Salford	Onton2005		1	0	0	0	0		https://scholar.google.com/citations?user=D5YaHnUAAAAJ&hl=en	https://www.salford.ac.uk/our-staff/samantha-gregory	https://sites.google.com/view/drsamanthaeagregory/home
chassall	Cameron Hassall	chassall.jpg	MacEwan University	Vidal2000		1	0	0	0	0		https://scholar.google.com/citations?user=-doZi8MAAAAJ&hl=en	https://www.macewan.ca/academics/academic-departments/psychology/our-people/profile/?profileid=hassallc	https://www.cameronhassall.com/
kgloy	Kilian Gloy	kgloy.jpg	University of Bremen	AmodioMaster2008		1	0	0	0	0			https://www.uni-bremen.de/en/pppd/team/dr-kilian-gloy	
zliu	Zhong Xu Liu	zliu.jpg	University of Michigan-Dearborn	Boksem2006		1	0	0	0	0		https://scholar.google.com/citations?user=_Ur_gZwAAAAJ&hl=en	https://umdearborn.edu/people-um-dearborn/zhong-xu-liu	https://zhongxuliu.wixsite.com/cogneurolab
akeil	Andreas Keil	akeil.jpg	University of Florida	ClarkHillyard1996		1	0	0	0	0		https://scholar.google.com/citations?user=oyHUTa0AAAAJ&hl=en	https://people.clas.ufl.edu/akeil/	
nlanger	Nicolas Langer	nlanger.jpg	University of Zurich	VogelMachizawa2004		1	0	0	0	0		https://scholar.google.com/citations?user=MElLotMAAAAJ&hl=en	https://www.psychology.uzh.ch/en/areas/nec/plafor/team/Head-of-Discipline/Langer.html	
hliesefeld	Heinrich Liesefeld	hliesefeld.jpg	University of Bremen	Eimer1996		1	0	0	0	0		https://scholar.google.com/citations?user=D1Tc1woAAAAJ&hl=en	https://www.uni-bremen.de/en/research-methods-and-cognitive-psychology/team/heinrich-liesefeld	
amacnamara	Annmarie MacNamara	amacnamara.jpg	Texas A&M University	Inzlicht2009		1	0	0	0	0		https://scholar.google.com/citations?user=puWpGDgAAAAJ&hl=en	https://artsci.tamu.edu/psychological-brain-sciences/contact/profiles/annmarie-macnamara.html	https://maclab.sites.tamu.edu/
rnaar	Richard Naar	rnaar.jpg	University of Tartu	Muller2003		1	0	0	0	0		https://scholar.google.com/citations?user=AZzD8YUAAAAJ&hl=en	https://ut.ee/en/employee/richard-naar	
gniso	Guiomar Niso	gniso.jpg	Instituto Cajal CSIC	Luck1996		1	0	0	0	0		https://scholar.google.com/citations?user=xqxSCSkAAAAJ&hl=en	https://cajal.csic.es/laboratorios/neuroimagen/	https://guiomarniso.com/
gpourtois	Gilles Pourtois	gpourtois.jpg	Ghent University	HajcakHolroyd2005		1	0	0	0	0		https://scholar.google.com/citations?user=6AyGv5IAAAAJ&hl=en	https://research.ugent.be/web/person/gilles-pourtois-0/en	https://www.cap-lab.be/
msenderecka	Magdalena Senderecka	msenderecka.jpg	Jagiellonian University	HajcakMoser2005		1	0	0	0	0		https://scholar.google.com/citations?user=SMEhBPMAAAAJ&hl=en	https://kognitywistyka.uj.edu.pl/en_GB/magdalena-senderecka	
mruzzoli	Manuela Ruzzoli	mruzzoli.jpg	Basque Center on Cognition, Brain and Language	Mathewson2009		1	0	0	0	0		https://scholar.google.com/citations?user=M_aMglAAAAAJ&hl=en	https://www.bcbl.eu/en/conocenos/equipo/manuela-ruzzoli	
nsrinivasan	Narayanan Srinivasan	nsrinivasan.jpg	Indian Institute of Technology Kanpur	BuschVanRullen2010		1	0	0	0	0		https://scholar.google.com/citations?user=oL4UaqcAAAAJ&hl=en	https://iitk.irins.org/profile/187765	https://sites.google.com/site/ammuns68/
everona	Edelyn Verona	everona.jpg	University of South Florida	Hajcak2003		1	0	0	0	0		https://scholar.google.com/citations?user=8NW5HusAAAAJ&hl=en	https://www.usf.edu/arts-sciences/departments/psychology/people/everona.aspx	
socklenburg	Sebastian Ocklenburg	socklenburg.jpg	MSH Medical School Hamburg		asymmetry	0	1	0	0	0		https://scholar.google.de/citations?user=E0IRSXQAAAAJ&hl=en	https://www.medicalschool-hamburg.de/ueber-uns/team/team-fakultaet-humanwissenschaften/sebastian-ocklenburg/	
cpernet	Cyril Pernet	cpernet.jpg	Copenhagen University Hospital			0	1	0	1	0		https://scholar.google.co.uk/citations?user=yz6s_e8AAAAJ&hl=en	https://nru.dk/index.php/about-us/staff-list/124-senior-researchers/318-cyril-pernet	https://cpernet.github.io
rbendall	Robert Bendall	rbendall.jpg	University of Salford	Carretie2004		1	0	0	0	0		https://scholar.google.co.uk/citations?user=Z_934nkAAAAJ&hl=en	https://www.salford.ac.uk/our-staff/robert-bendall	https://hub.salford.ac.uk/appliedcognition/people/
mrausch	Manuel Rausch	mrausch.jpg	Catholic University of Eichstätt-Ingolstadt & Rhine-Waal University of Applied Sciences	DelCul2007		1	0	0	0	0		https://scholar.google.de/citations?user=QFdVCFEAAAAJ&hl=en	https://www.ku.de/ppf/psychologie/psychologie6/mitarbeitende/rausch	https://manuelrausch.github.io/
krobbins	Kay Robbins	krobbins.jpg	University of Texas at San Antonio			0	0	0	1	0		https://scholar.google.com/citations?user=CJDsN9cAAAAJ&hl=en	https://www.cs.utsa.edu/~krobbins/	
nadamian	Nika Adamian	nadamian.jpg	Liverpool John Moores University			0	0	0	1	0		https://scholar.google.com/citations?user=dwl_710AAAAJ&hl=en	https://profiles.ljmu.ac.uk/19412-nika-adamian	
bsaunders	Blair Saunders	bsaunders.jpg	University of Dundee			0	0	0	1	0		https://scholar.google.com/citations?user=UYQGHIsAAAAJ&hl=en	https://www.dundee.ac.uk/people/blair-saunders	https://sites.google.com/view/srplab
dbrady	Daniel Brady	dbrady.jpg	University of Sheffield			0	0	1	0	0			https://rse.shef.ac.uk/contact/dan-brady/	
amarzuki	Aleya Marzuki	amarzuki.jpg	Eberhard Karls Universität Tübingen	AmodioJost2007		1	0	0	0	0		https://scholar.google.com/citations?user=_b2JZc0AAAAJ&hl=en		
dstrzelczyk	Dawid Strzelczyk	dstrzelczyk.jpg	University of Zurich	VogelMachizawa2004		1	0	0	0	0				
gnilsonne	Gustav Nilsonne	gnilsonne.jpg	Karolinska Institutet			0	0	0	1	0		https://scholar.google.com/citations?user=mXzy9UIAAAAJ	https://ki.se/en/people/gustav-nilsonne	https://nilsonne.net/
kpaul	Katharina Paul	kpaul.jpg	University of Hamburg	HajcakHolroyd2005		1	0	0	0	0		https://scholar.google.com/citations?user=6wGiJv8AAAAJ&hl=en	https://www.psy.uni-hamburg.de/en/arbeitsbereiche/differentielle-psychologie-und-psychologische-diagnostik/personen/paul-katharina.html	
mconstant	Martin Constant	mconstant.jpg	University of Geneva	Eimer1996		1	0	0	0	0		https://scholar.google.com/citations?user=KP7KLjUAAAAJ	https://www.unige.ch/fapse/cognition/equipe/martin-constant	
mjenkins	Michael Jenkins	mjenkins.jpg	University of Nottingham Malaysia	AmodioJost2007		1	0	0	0	0		https://scholar.google.com/citations?user=0uHzMv4AAAAJ&hl=en	https://www.nottingham.edu.my/psychology/people/michael.jenkins	
pclayson	Peter Clayson	pclayson.jpg	University of South Florida	Hajcak2003		1	0	0	0	0				
ystegmann	Yannik Stegmann	ystegmann.jpg	University of Würzburg	Miltner1999		1	0	0	0	0		https://scholar.google.com/citations?user=QF-p1s4AAAAJ&hl=en		
amedvedev	Aleksei Medvedev	amedvedev.jpg	Cardiff Sixth Form College			0	0	0	0	0	contributor			
awilliams	Ariana Williams	awilliams.jpg	Leeds University			0	0	0	0	0	contributor			
